,Names,ad_Phone,ad_WebSite,ad_about,ad_adress,ad_cuisine,ad_features,ad_meals,ad_prices,guru_time,near_att,near_hot,near_res,special_diets,ad_Phones,info,tfidf,id,gps
261,Le Vieux Moulin,+212 661-130087,http://levieuxmoulinmarrakech.com/,"The restaurant le vieux moulin offers a moroccan cooking between tradition and modernity, with a warm and intimate atmosphere","139 Arset Aouzal Rd Bab Doukkala, Marrakech 40000 Morocco",Moroccan,"Reservations, Seating, Table Service","Lunch, Dinner",MAD 130 - MAD 175,11AM-11:50PM,"Dar El Bacha - Musee des Confluences,Majdoline travel,Rue Dar el Bacha,Karim Bouriad Bazar,","Hotel Riad Fantasia,Bibazia,Riad Malika,Riad Morgane,","Ma Maison,La Table Du Riad at 72 Riad Living,Chez Yassine,Riad Kniza Restaurant,", ,+212 661-130087,"Le Vieux Moulin ; 139 Arset Aouzal Rd Bab Doukkala, Marrakech 40000 Morocco ;  ; The restaurant le vieux moulin offers a moroccan cooking between tradition and modernity, with a warm and intimate atmosphere ; Moroccan ; Lunch, Dinner ; Reservations, Seating, Table Service ;   ; Dar El Bacha - Musee des Confluences,Majdoline travel,Rue Dar el Bacha,Karim Bouriad Bazar, ; Hotel Riad Fantasia,Bibazia,Riad Malika,Riad Morgane,","le,vieux,moulin,arset,aouzal,rd,bab,doukkala,marrakech,morocco,moroccan,lunch,dinner,reservation,seating,table,service,dar,el,bacha,musee,de,confluence,majdoline,travel,rue,dar,el,bacha,karim,bouriad,bazar,hotel,riad,fantasia,bibazia,riad,malika,riad,morgane",261,/maps/dir//Le+Vieux+Moulin+Marrakech/data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0xdafef18bba04d8d:0xcf86dfbd046f7b1?sa=X
262,Ocha Sushi,+212 5244-20088,," The walk with a view of MACMA Musee d'Art et de Culture de Marrakech is what you can expect after dining at Ocha Sushi. Visitors mention that it's fine to go here for the Japanese and Mediterranean meal. You will like its food, particularly good soup and perfectly cooked sushi. The fast service is another important point ","43 Rue Yugoslavie, Gueliz, Marrakech 40000 Morocco","Asian, Japanese, Mediterranean, Moroccan, Sushi","Delivery , Takeaway , Booking , ", , ,11AM-12AM,"MACMA Musee d'Art et de Culture de Marrakech,Morocco Vacation Tour,Unitrip Me,Marrakech Quad Biking,","Hotel La Renaissance,Nassim Hotel,Amalay Hotel,Diwane Hotel & Spa Marrakech,","Barometre Marrakech,Restaurant Le LOFT,Patisserie Amandine Marrakech,Mamma Mia,", ,+212 5244-20088,"Ocha Sushi ; 43 Rue Yugoslavie, Gueliz, Marrakech 40000 Morocco ;  ;  The walk with a view of MACMA Musee d'Art et de Culture de Marrakech is what you can expect after dining at Ocha Sushi. Visitors mention that it's fine to go here for the Japanese and Mediterranean meal. You will like its food, particularly good soup and perfectly cooked sushi. The fast service is another important point  ; Asian, Japanese, Mediterranean, Moroccan, Sushi ;   ; Delivery , Takeaway , Booking ,  ;   ; MACMA Musee d'Art et de Culture de Marrakech,Morocco Vacation Tour,Unitrip Me,Marrakech Quad Biking, ; Hotel La Renaissance,Nassim Hotel,Amalay Hotel,Diwane Hotel & Spa Marrakech,","ocha,sushi,rue,yugoslavie,gueliz,marrakech,morocco,asian,japanese,mediterranean,moroccan,sushi,delivery,takeaway,booking,macma,musee,et,de,culture,de,marrakech,morocco,vacation,tour,unitrip,marrakech,quad,biking,hotel,la,renaissance,nassim,hotel,amalay,hotel,diwane,hotel,spa,marrakech",262,
263,Le Noyer,+212 661-596846,," Besides Mechouar Square of Allegiance, visit Le Noyer in the vicinity. Here you can taste Mediterranean and Moroccan cuisines. Guests may order good couscous at Le Noyer. As a lot of visitors remark, the service is fast. ","Sitti fatma vallee Ourika, Marrakech Morocco","Mediterranean, Moroccan","Booking ,", ,up to MAD 98,,",,",",,",",,", ,+212 661-596846,"Le Noyer ; Sitti fatma vallee Ourika, Marrakech Morocco ;  ;  Besides Mechouar Square of Allegiance, visit Le Noyer in the vicinity. Here you can taste Mediterranean and Moroccan cuisines. Guests may order good couscous at Le Noyer. As a lot of visitors remark, the service is fast.  ; Mediterranean, Moroccan ;   ; Booking , ;   ; ,, ; ,,","le,noyer,sitti,fatma,vallee,ourika,marrakech,morocco,mediterranean,moroccan,booking",263,
264,Naim Food,+212 661-203018,http://naim-food.business.site/,"In a pleasant place full of flavors, we serve the best kebabs, tacos, sandwiches, pizzas, couscous, pastilla, tagines and salads in Marrakech, Jamma el-Fna square! Come and taste our refined and gourmet dishes for a budget price. Snack Naim Food in the center of Marrakech welcomes you and wishes a great meal.","Passage Prince Moulay Rachid, Marrakech 40000 Morocco","Moroccan, Pizza, Fast Food, International, Mediterranean","Takeout, Seating, Table Service","Dinner, Lunch, Late Night, Drinks",MAD 152 - MAD 606,9AM-12AM,"Jemaa el-Fnaa,Agadir Activities,Food Markets of Marrakech,Viaje En Marruecos,","Marrakech Hotel Cecil 2,Hotel Atlas,Hotel Riad Marraplace,Riad Art & Emotions Boutique Hotel & Spa,","Taj Moroccan Food,Snack Grand Atlas,La Patisserie des Princes,Taj'in Darna,", ,+212 661-203018,"Naim Food ; Passage Prince Moulay Rachid, Marrakech 40000 Morocco ;  ; In a pleasant place full of flavors, we serve the best kebabs, tacos, sandwiches, pizzas, couscous, pastilla, tagines and salads in Marrakech, Jamma el-Fna square! Come and taste our refined and gourmet dishes for a budget price. Snack Naim Food in the center of Marrakech welcomes you and wishes a great meal. ; Moroccan, Pizza, Fast Food, International, Mediterranean ; Dinner, Lunch, Late Night, Drinks ; Takeout, Seating, Table Service ;   ; Jemaa el-Fnaa,Agadir Activities,Food Markets of Marrakech,Viaje En Marruecos, ; Marrakech Hotel Cecil 2,Hotel Atlas,Hotel Riad Marraplace,Riad Art & Emotions Boutique Hotel & Spa,","naim,food,passage,prince,moulay,rachid,marrakech,morocco,moroccan,pizza,fast,food,international,mediterranean,dinner,lunch,late,night,drink,takeout,seating,table,service,jemaa,agadir,activity,food,market,marrakech,viaje,en,marruecos,marrakech,hotel,cecil,hotel,atlas,hotel,riad,marraplace,riad,art,emotion,boutique,hotel,spa",264,/maps/dir//Naim+Food+Marrakech/data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0xdafee43a3dbbb95:0xaf1a64f0b104563a?sa=X
265,Restaurant Imilale,+212 5244-36596,http://www.facebook.com/Imilale,"IMILALE, among the best restaurants in Marrakech, welcomes you in a dynamic and pleasant setting. Delicious dishes with magnificent prices, fast and welcoming service. Enjoy your meal !!!","47 Rue Mohamed El Bakkal, Marrakech 40000 Morocco","International, Mediterranean, Middle Eastern, Moroccan, Barbecue, Grill","Cash only , Delivery , Wi-Fi , Parking  , Booking , ", , MAD 10 - MAD 130,11AM-12AM,"MACMA Musee d'Art et de Culture de Marrakech,Theatre Royal,Sahara Wanderlust,Dahbi Morocco Tours,","Imperial Holiday Hotel & Spa,Meriem Hotel,Bab Hotel,Le Printemps by Blue Sea,","Azar,Patisserie Amandine Marrakech,Bagatelle,Mamma Mia,", ,+212 5244-36596,"Restaurant Imilale ; 47 Rue Mohamed El Bakkal, Marrakech 40000 Morocco ;  ; IMILALE, among the best restaurants in Marrakech, welcomes you in a dynamic and pleasant setting. Delicious dishes with magnificent prices, fast and welcoming service. Enjoy your meal !!! ; International, Mediterranean, Middle Eastern, Moroccan, Barbecue, Grill ;   ; Cash only , Delivery , Wi-Fi , Parking  , Booking ,  ;   ; MACMA Musee d'Art et de Culture de Marrakech,Theatre Royal,Sahara Wanderlust,Dahbi Morocco Tours, ; Imperial Holiday Hotel & Spa,Meriem Hotel,Bab Hotel,Le Printemps by Blue Sea,","restaurant,imilale,rue,mohamed,el,bakkal,marrakech,morocco,international,mediterranean,middle,eastern,moroccan,barbecue,grill,cash,delivery,parking,booking,macma,musee,et,de,culture,de,marrakech,theatre,royal,sahara,wanderlust,dahbi,morocco,tour,imperial,holiday,hotel,spa,meriem,hotel,bab,hotel,le,printemps,blue,sea",265,/maps/dir//Restaurant+Imilale+Marrakech/data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0xdafee9bb5cb7f09:0x49b2275ac4945f73?sa=X
266,Le jet set,+212 666-033316,, The International cuisine is nice at Le jet set. ,"Palm Plaza Marrakech Avenue du 7eme art, Marrakech Morocco",International,"Booking ,", ,more than MAD 500,,"Amazonite,Galerie Dawiya,Happy Morocco - Day Trip,Al Nour,","Hotel Teranga,Riad Dar Zen,Ryad des Eaux,Riad Akwass Targa,","Restaurant Naima,chez ahmed,African-chic,Le Chineur,", ,+212 666-033316,"Le jet set ; Palm Plaza Marrakech Avenue du 7eme art, Marrakech Morocco ;  ;  The International cuisine is nice at Le jet set.  ; International ;   ; Booking , ;   ; Amazonite,Galerie Dawiya,Happy Morocco - Day Trip,Al Nour, ; Hotel Teranga,Riad Dar Zen,Ryad des Eaux,Riad Akwass Targa,","le,jet,set,palm,plaza,marrakech,avenue,du,art,marrakech,morocco,international,booking,amazonite,galerie,dawiya,happy,morocco,day,trip,al,nour,hotel,teranga,riad,dar,zen,ryad,de,eaux,riad,akwass,targa",266,
267,Stalls in the Square,,," Scheduling your trip, pay attention to Boucharouite Museum and remember to decide where to eat: this fast food is right aside the mentioned attraction. Moroccan cuisine is to the pleasure of all visitors here. Stalls in the Square is proud of mouthwatering sandwiches, fried fish and sausages. Delicious wine gets positive reviews. It's a must to taste great mint tea or good fresh juices while coming to this place. It's easy to find this spot due to the convenient location. Many guests mark that the staff is accommodating here. Nice service is something that people highlight in their comments. A lot of reviewers say that the dishes have acceptable prices. From the guests' viewpoint, the atmosphere is cozy. ","Jemaa El Fna Medina, Marrakech 40000 Morocco","Moroccan, Fast food","Outdoor seating , Takeaway ,", ,up to MAD 100,,"Destino Marruecos - Day Tours,Marrakech Weekend,Travel Visit Morocco - Day Tours,High Atlas Tours - Day Tours,","Riad Miski,Riad Puchka,Riad Alamanda,Riad 191,","Cafe Restaurant Dar L'hssir,Roti D'or,Color Safra-SOUS RESERVATION,Restaurant Andalous,", , ,"Stalls in the Square ; Jemaa El Fna Medina, Marrakech 40000 Morocco ;  ;  Scheduling your trip, pay attention to Boucharouite Museum and remember to decide where to eat: this fast food is right aside the mentioned attraction. Moroccan cuisine is to the pleasure of all visitors here. Stalls in the Square is proud of mouthwatering sandwiches, fried fish and sausages. Delicious wine gets positive reviews. It's a must to taste great mint tea or good fresh juices while coming to this place. It's easy to find this spot due to the convenient location. Many guests mark that the staff is accommodating here. Nice service is something that people highlight in their comments. A lot of reviewers say that the dishes have acceptable prices. From the guests' viewpoint, the atmosphere is cozy.  ; Moroccan, Fast food ;   ; Outdoor seating , Takeaway , ;   ; Destino Marruecos - Day Tours,Marrakech Weekend,Travel Visit Morocco - Day Tours,High Atlas Tours - Day Tours, ; Riad Miski,Riad Puchka,Riad Alamanda,Riad 191,","stall,square,jemaa,el,fna,medina,marrakech,morocco,moroccan,fast,food,outdoor,seating,takeaway,destino,marruecos,day,tour,marrakech,weekend,travel,visit,morocco,day,tour,high,atlas,tour,day,tour,riad,miski,riad,puchka,riad,alamanda,riad",267,
268,Rest'o Senegal,+212 654-839580,," Explore the world of African cuisine here. As clients see it, the ambiance is comfortable here. ","Rue Charaf, Marrakech 14046 Morocco",African,"Booking , Wheelchair accessible , ", ,up to MAD 100,,"Explore Sahara Tours,Amo Marruecos,Cote bougie,Experience Morocco,","Dar Selwan Wellness & Spa,Riad Dar Ellima,Hotel Teranga,Riad Dar Zen,","Le Zinc,Pastaz by Catanzaro,La Poele Marrakech,Le Zinc,", ,+212 654-839580,"Rest'o Senegal ; Rue Charaf, Marrakech 14046 Morocco ;  ;  Explore the world of African cuisine here. As clients see it, the ambiance is comfortable here.  ; African ;   ; Booking , Wheelchair accessible ,  ;   ; Explore Sahara Tours,Amo Marruecos,Cote bougie,Experience Morocco, ; Dar Selwan Wellness & Spa,Riad Dar Ellima,Hotel Teranga,Riad Dar Zen,","rest,senegal,rue,charaf,marrakech,morocco,african,booking,wheelchair,accessible,explore,sahara,tour,amo,marruecos,cote,bougie,experience,morocco,dar,selwan,wellness,spa,riad,dar,ellima,hotel,teranga,riad,dar,zen",268,/maps/dir//Rest'o+Senegal+Marrakech/data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0xdafedc4ab6fafd7:0xccd10432c1b0151f?sa=X
269,Sushiko,+212 5243-14031,," It is the best place near Gueliz. If you prefer Japanese and Mediterranean cuisines, then Sushiko is worth checking out. Trying good tajine and nicely cooked sushi is what many visitors advise. Looking inside this place, you can see the beautiful decor. ","Boulevard Allal al fassi Hay charaf Imm mountazah Lot 161, Marrakech 40000 Morocco","Japanese, Mediterranean, Moroccan","Booking ,", , MAD 100 - MAD 250,12PM-11PM,"Desert Vibes,Gueliz,Palooza Park,Morroco Nomade Dream,","Hotel Relax Marrakech,Palmeraie de l'Atlas,Wazo Appart-Hotel,Wazo Hotel,","Solano,La Poele Marrakech,CHICKANDY,Mes Rendez-Vous,", ,+212 5243-14031,"Sushiko ; Boulevard Allal al fassi Hay charaf Imm mountazah Lot 161, Marrakech 40000 Morocco ;  ;  It is the best place near Gueliz. If you prefer Japanese and Mediterranean cuisines, then Sushiko is worth checking out. Trying good tajine and nicely cooked sushi is what many visitors advise. Looking inside this place, you can see the beautiful decor.  ; Japanese, Mediterranean, Moroccan ;   ; Booking , ;   ; Desert Vibes,Gueliz,Palooza Park,Morroco Nomade Dream, ; Hotel Relax Marrakech,Palmeraie de l'Atlas,Wazo Appart-Hotel,Wazo Hotel,","sushiko,boulevard,allal,al,fassi,hay,charaf,imm,mountazah,lot,marrakech,morocco,japanese,mediterranean,moroccan,booking,desert,vibe,gueliz,palooza,park,morroco,nomade,dream,hotel,relax,marrakech,palmeraie,de,wazo,wazo,hotel",269,
270,Le Marin Pecheur,+212 5243-14031,https://restaurantguru.com/link/61261776," The recipe for success of this restaurant is its perfectly cooked fish. According to the visitors' opinions, the service is enjoyable. But a number of clients who use Google didn't grant Le Marin Pecheur a high rating. ","Boulevard Allal al fassi Hay charaf Imm mountazah Lot 161, Marrakech 40000 Morocco","Seafood, Vegetarian options","Delivery , Outdoor seating , Takeaway , Booking , Cash only , Wheelchair accessible , ", , MAD 59 - MAD 900,11AM-11PM,"Desert Vibes,Gueliz,Palooza Park,Morroco Nomade Dream,","Hotel Relax Marrakech,Palmeraie de l'Atlas,Wazo Appart-Hotel,Wazo Hotel,","Solano,La Poele Marrakech,CHICKANDY,Mes Rendez-Vous,", ,+212 5243-14031,"Le Marin Pecheur ; Boulevard Allal al fassi Hay charaf Imm mountazah Lot 161, Marrakech 40000 Morocco ;  ;  The recipe for success of this restaurant is its perfectly cooked fish. According to the visitors' opinions, the service is enjoyable. But a number of clients who use Google didn't grant Le Marin Pecheur a high rating.  ; Seafood, Vegetarian options ;   ; Delivery , Outdoor seating , Takeaway , Booking , Cash only , Wheelchair accessible ,  ;   ; Desert Vibes,Gueliz,Palooza Park,Morroco Nomade Dream, ; Hotel Relax Marrakech,Palmeraie de l'Atlas,Wazo Appart-Hotel,Wazo Hotel,","le,marin,pecheur,boulevard,allal,al,fassi,hay,charaf,imm,mountazah,lot,marrakech,morocco,seafood,vegetarian,option,delivery,outdoor,seating,takeaway,book,cash,wheelchair,accessible,desert,vibe,gueliz,palooza,park,morroco,nomade,dream,hotel,relax,marrakech,palmeraie,de,wazo,wazo,hotel",270,
271,Pescarita,+212 5243-42959,http://www.facebook.com/Pescarita-551714484992508," It's a pleasant experience to eat nicely cooked sandwiches, salads and pizza. The staff is cheerful that's what makes this restaurant so nice. Visitors say that the service is fabulous here. Pescarita scored 4.3 in the Google rating system. ","Route d'Agadir EL Azzouia, Marrakech 40000 Morocco","Moroccan, Mediterranean, Northern-Italian, Southern-Italian","Delivery, Takeout, Reservations, Seating, Wheelchair Accessible, Table Service","Lunch, Dinner",MAD 263 - MAD 737,10AM-11:30PM,"Cote bougie,Rana Holidays,Sahara Exploring Expedition Day Tours,Abdo Golf Tours,","Zephyr Targa Marrakech,LabrandaTarga Club Aqua Parc,Riad Dar Zen,Ksar Catalina,","Le Zinc,Solano,Pastaz by Catanzaro,Restaurant Riad Hamdane,", ,+212 5243-42959,"Pescarita ; Route d'Agadir EL Azzouia, Marrakech 40000 Morocco ;  ;  It's a pleasant experience to eat nicely cooked sandwiches, salads and pizza. The staff is cheerful that's what makes this restaurant so nice. Visitors say that the service is fabulous here. Pescarita scored 4.3 in the Google rating system.  ; Moroccan, Mediterranean, Northern-Italian, Southern-Italian ; Lunch, Dinner ; Delivery, Takeout, Reservations, Seating, Wheelchair Accessible, Table Service ;   ; Cote bougie,Rana Holidays,Sahara Exploring Expedition Day Tours,Abdo Golf Tours, ; Zephyr Targa Marrakech,LabrandaTarga Club Aqua Parc,Riad Dar Zen,Ksar Catalina,","pescarita,route,el,azzouia,marrakech,morocco,moroccan,mediterranean,lunch,dinner,delivery,takeout,reservation,seating,wheelchair,accessible,table,service,cote,bougie,rana,holiday,sahara,explore,expedition,day,tour,abdo,golf,tour,zephyr,targa,marrakech,labrandatarga,club,aqua,parc,riad,dar,zen,ksar,catalina",271,/maps/dir//Pescarita+Marrakech/data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0xdafeb9a24eafe93:0xfb73b0d3fd73c09a?sa=X
272,Snacking delyse,+212 661-151637,," Not only should Les Secrets Hammam&spa be visited, but also Snacking delyse. You will be served Mediterranean and Moroccan cuisines at Snacking delyse. ","17, rue Tarek ibn ziad, Marrakech 40000 Morocco","Mediterranean, Moroccan","Booking , Wheelchair accessible , ", , MAD 20 - MAD 40,,"Morocco Discovery Trip,Olympia Tours,Morocco Vacation Tour,Les Secrets Hammam&spa,","Tachfine Hotel,Hotel Gomassine,Hotel Alkabir,Villa El Gada,","Barometre Marrakech,La Palette Restaurant Marrakech,Chez Mado,Libzar,", ,+212 661-151637,"Snacking delyse ; 17, rue Tarek ibn ziad, Marrakech 40000 Morocco ;  ;  Not only should Les Secrets Hammam&spa be visited, but also Snacking delyse. You will be served Mediterranean and Moroccan cuisines at Snacking delyse.  ; Mediterranean, Moroccan ;   ; Booking , Wheelchair accessible ,  ;   ; Morocco Discovery Trip,Olympia Tours,Morocco Vacation Tour,Les Secrets Hammam&spa, ; Tachfine Hotel,Hotel Gomassine,Hotel Alkabir,Villa El Gada,","snack,delyse,rue,tarek,ibn,ziad,marrakech,morocco,mediterranean,moroccan,booking,wheelchair,accessible,morocco,discovery,trip,olympia,tour,morocco,vacation,tour,les,secret,hammam,spa,tachfine,hotel,hotel,gomassine,hotel,alkabir,villa,el,gada",272,
